,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
237,0,18.8,9.3,2.829,-18.604935,0.6344935,-49.6913
238,0,19.9,8.8,2.354,-17.415613,-5.004839,-55.400597
239,79,20.1,9.2,2.105,-18.561338,0.43268633,-43.419407
240,185,22.1,10.2,2.199,-21.687098,0.43268633,-39.75435
241,958,23.3,9.8,2.111,-23.811186,0.43268633,-34.03551
242,12123,23.5,9.0,1.92,-20.71988,0.38636073,-47.722343
243,141079,24.1,9.4,1.894,-22.144945,0.43268633,-43.12839
244,114590,25.9,11.0,1.704,-24.922506,0.39315,-37.068226
245,36797,25.4,6.4,1.655,-24.48504,-0.055990998,-102.84021
246,14517,25.8,7.8,1.84,-28.105732,0.3303092,-311.19284
247,13146,26.8,8.3,1.423,-29.87076,0.48313814,-160.81032
248,23332,28.1,6.8,1.677,-29.601595,0.43268633,-199.09793
249,66067,29.7,10.0,1.875,-28.223516,0.43268633,-266.79926
250,7893,27.1,6.9,2.438,-29.418844,0.43268633,-437.189
251,44504,29.6,12.9,1.955,-28.802477,1.280505,-165.5455
252,6179,26.7,7.7,2.722,-25.146059,-3.728518,-548.71356
253,3270,26.9,7.9,3.024,-28.097612,0.1915899,-485.2327
254,7946,27.5,10.8,2.511,-23.926394,0.43268633,-181.94373
255,20872,26.2,11.4,2.053,-22.421358,1.6336673,-116.93539
256,7034,25.3,9.0,2.111,-21.963638,0.43268633,-200.83844
257,62710,23.9,12.2,2.359,-21.313583,0.43268633,-87.51341
258,45689,23.9,13.6,2.042,-19.669598,1.1137857,-91.47058
259,46134,22.6,12.8,2.27,-18.372032,1.4164965,-93.30349
260,11587,20.4,10.4,1.942,-17.129229,0.43268633,-99.911575
261,18212,18.5,8.8,2.044,-12.135913,0.43268633,-71.33295
262,46838,17.2,10.0,2.511,-9.32154,0.43268633,-55.044514
263,53331,15.5,11.6,2.607,-9.156537,0.43268633,-42.649067
264,24603,13.7,10.6,2.27,-5.066662,0.43268633,-37.02437
265,26651,10.4,11.9,2.453,-2.8222032,0.43268633,-50.995346
266,9819,8.4,11.8,2.978,-5.457817,0.43268633,-52.71179
267,2134,7.6,12.9,3.147,0.27486753,0.43268633,-50.738228
268,607,4.4,11.6,4.289,4.2760077,0.43268633,-49.448357
269,538,2.9,12.7,3.895,2.089544,0.43268633,-64.36668
270,139,2.8,14.2,3.769,1.8315215,0.43268633,-69.558876
271,84,2.8,14.6,3.842,-0.10846113,0.43268633,-83.369354
272,47,2.8,14.8,4.165,5.77921,0.43268633,-63.71941
