,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
36,26.2,8.2,2.695,24.836231,-0.39474642,222.48347
37,25.3,8.8,2.133,26.267393,3.6358871,194.04514
38,26.9,10.1,2.363,27.271667,25.641869,1327.2673
39,26.9,8.5,2.138,26.872791,5.5600095,332.18442
40,29.0,9.0,2.234,27.665567,35.4381,1728.8063
41,26.7,7.3,2.928,30.791803,19.965855,870.1759
42,31.0,10.1,2.69,30.805403,0.3013425,336.0736
43,31.6,10.0,2.583,30.616697,-0.046701968,312.4829
44,31.0,9.8,2.303,30.580397,18.74408,539.7105
45,32.0,9.9,3.021,32.628403,9.878518,740.70874
46,34.3,10.0,2.056,32.318073,-0.39474642,200.94954
47,33.6,8.5,1.812,31.60726,27.20596,563.0551
48,29.1,7.2,2.588,28.197224,4.878455,335.68445
49,30.7,9.4,2.09,25.001116,1.600402,155.88351
50,28.4,12.1,1.987,26.317114,7.151379,342.54633
51,28.8,9.9,2.733,25.05613,-0.39474642,447.22705
52,29.5,9.8,2.192,24.749748,-0.39474642,162.585
53,26.0,9.6,1.774,22.516098,8.176611,576.4009
54,25.1,11.5,2.053,24.043007,19.684053,696.87994
55,22.8,10.8,2.704,16.058422,-0.39474642,283.0787
56,21.5,12.1,2.001,18.829775,-0.39474642,107.68226
57,17.7,12.6,2.434,15.275748,-0.39474642,93.26775
58,17.1,11.5,2.19,14.123166,7.533064,90.064255
59,14.2,9.8,2.35,7.6140323,0.69433355,104.27904
60,11.2,11.0,2.612,4.3712063,0.12732026,107.090454
61,10.5,11.7,2.968,5.537761,9.3738,135.03154
62,8.2,11.6,3.419,3.9299045,-0.39474642,100.927864
63,7.2,12.2,3.743,3.2689834,0.8933158,134.79832
64,5.0,12.5,4.168,3.7081113,-0.17693043,92.826744
65,5.1,13.4,3.968,1.7984941,-0.39474642,74.467
66,5.1,13.8,3.302,2.5233312,1.1299655,111.97881
67,3.0,14.1,3.645,-0.87350345,-0.39474642,103.07974
68,3.2,15.1,4.01,2.780228,-0.17693043,72.802444
69,3.6,14.4,3.738,6.66374,0.47651756,54.220577
70,5.9,13.9,3.854,3.3678007,-0.22049363,72.69736
71,4.8,13.8,3.859,2.6561303,-0.359942,67.714226
72,5.7,14.4,3.808,4.1849494,-0.2207242,72.38832
73,6.2,14.5,3.851,9.488886,5.0506535,69.07302
74,8.3,14.2,4.07,6.8150187,-0.39474642,58.712616
75,7.8,13.5,4.025,5.9362783,16.529348,202.6753
76,10.6,13.3,5.483,13.005536,2.1056428,196.98747
77,12.5,13.1,5.044,16.268692,12.056489,177.40637
78,14.7,10.6,4.528,15.346194,2.0415647,267.15723
79,14.7,11.3,4.134,14.255869,-0.21745242,114.10737
80,14.9,9.7,3.593,17.484869,6.3575497,106.46791
81,15.7,9.4,3.403,17.599987,-0.39474642,72.673805
82,16.3,8.6,3.314,18.898571,10.566578,592.3627
83,17.8,10.5,2.771,17.300943,-0.2207242,184.86111
84,19.4,12.1,2.432,22.26141,14.614728,108.21629
85,21.2,13.4,2.356,22.33607,-0.359942,71.29726
86,22.7,9.7,2.257,25.460077,4.508304,66.40196
87,23.3,9.0,2.285,23.418839,3.214573,106.3228
88,23.0,8.7,2.38,23.93718,0.32860813,121.31851
89,24.1,10.6,2.467,26.244598,1.1299655,101.40089
90,23.9,7.5,2.356,26.625824,17.1815,260.1567
91,25.0,7.4,2.449,26.32949,15.495751,291.876
92,24.8,6.5,2.313,28.207243,9.372403,163.19635
93,25.7,8.4,1.923,27.500296,12.4020815,146.16893
94,26.2,7.7,2.001,31.03326,1.0343568,104.958664
95,28.1,9.9,1.413,30.51139,11.921063,90.10198
96,23.9,7.1,2.593,29.237406,21.250164,695.51953
97,25.2,7.4,2.174,26.795408,20.76821,585.6027
98,23.0,8.0,2.565,25.437971,39.66856,1414.072
99,23.7,9.1,2.76,24.905376,6.2714505,363.43817
100,25.2,11.2,2.772,25.911667,-0.39474642,200.80254
101,25.0,10.1,2.717,23.217709,-0.359942,117.131004
102,23.8,10.4,2.688,21.783398,17.091356,1071.1423
103,22.8,8.2,2.595,21.237177,-0.25552863,322.35535
104,21.2,10.0,2.377,19.651594,-0.39474642,185.6939
105,19.7,9.2,2.333,17.511532,11.09072,148.22977
106,18.4,11.5,2.427,15.9816475,12.959692,913.5963
107,17.4,10.8,2.866,14.977548,2.4368615,365.36868
108,15.8,10.9,2.837,11.806944,-0.17693043,413.38257
109,14.4,11.1,2.597,10.481508,-0.39474642,161.16588
110,12.0,14.4,2.682,7.2164693,-0.39474642,117.62114
111,10.8,14.4,2.827,11.06779,12.172656,310.71072
112,10.1,11.9,2.894,4.2934723,1.0352328,231.49158
113,6.3,11.6,2.579,3.2599356,0.76589787,188.00467
114,5.7,12.2,2.839,-1.3905672,2.6085782,156.93915
115,3.7,13.6,3.444,0.4861053,-0.39474642,147.78522
116,3.1,13.6,3.102,-0.07699812,-0.30762002,131.26547
117,3.0,13.4,3.432,0.9516022,2.5636315,138.00647
118,2.6,14.5,3.488,2.1832378,0.040885568,110.46489
119,3.0,15.3,3.475,4.023089,1.7277262,104.699715
120,4.1,13.5,3.751,3.5063307,1.128121,112.46531
121,4.0,13.8,4.435,2.5599387,-0.39474642,96.57785
122,3.8,14.3,3.708,0.7940477,-0.39474642,89.95617
123,4.4,14.5,3.954,4.9694242,2.9192362,127.64418
124,5.8,14.2,4.043,7.082837,1.7834135,126.49848
125,6.2,13.6,4.334,4.26557,2.033801,120.93775
126,7.3,13.8,4.41,5.6414704,-0.35118324,96.488556
127,7.9,12.9,3.333,13.442049,17.901796,354.556
128,10.4,13.1,4.178,10.184827,-0.39474642,217.44894
129,11.9,14.1,3.232,15.760278,10.827487,134.55428
130,13.6,9.9,2.97,11.465482,2.5636315,180.87422
131,13.8,11.3,2.77,13.480784,4.9932637,241.84917
132,14.9,11.2,2.732,16.659676,7.21592,351.16486
133,17.1,12.5,2.484,19.578062,10.192139,177.11934
134,18.8,9.3,2.55,19.26438,5.347987,142.35321
135,20.3,10.7,1.701,22.044716,11.823933,128.1533
136,21.3,10.7,1.747,21.68901,2.7376537,89.135765
137,22.1,10.1,1.636,24.948212,0.040885568,57.652752
138,22.9,9.3,1.411,24.576408,1.7834135,70.91312
139,22.0,7.5,1.999,25.951231,0.17088346,78.027115
140,22.6,8.4,1.62,25.102182,1.4642925,81.81103
141,22.9,10.4,1.783,25.168148,6.4539213,305.95984
142,23.4,8.3,2.129,25.386782,3.7893472,136.28091
143,24.0,10.2,1.763,25.67224,30.458624,938.05396
144,22.4,7.4,2.314,27.585978,16.666992,553.9744
145,24.4,8.6,2.281,29.059193,13.415801,120.474625
146,26.1,10.7,2.085,31.269882,8.45614,61.303677
147,28.7,8.2,1.881,31.243244,4.092263,54.518036
148,30.0,8.1,1.249,27.488363,5.8652434,120.54884
149,28.2,6.5,1.462,27.586586,24.183035,153.16675
150,25.7,7.5,1.675,25.963045,13.864016,287.1775
151,25.8,7.0,2.246,25.621178,7.8053265,228.36502
152,24.5,7.7,2.135,22.993088,7.6450806,124.19601
153,23.5,8.5,1.878,21.25406,12.001572,49.255962
154,23.3,10.0,1.745,22.289684,5.224906,42.13731
155,23.2,10.9,1.574,21.603525,15.026627,85.65563
156,21.8,9.8,1.637,18.202562,0.38939115,63.068016
157,20.3,10.6,1.531,16.6965,-0.359942,73.760666
158,19.5,11.4,1.671,17.723202,-0.39474642,29.164276
159,19.2,9.9,1.361,13.46026,2.3548048,35.591717
160,16.3,10.7,1.751,14.038443,12.794793,38.570442
161,15.5,10.8,2.169,14.860347,6.880308,102.90793
162,15.5,9.3,2.734,15.262812,2.948564,150.4741
163,14.8,9.4,3.192,11.779096,-0.10421324,106.97567
164,12.0,10.7,3.235,7.3829784,0.23781921,81.17832
165,9.3,11.6,3.501,9.823504,8.187204,94.49607
166,9.6,11.8,2.24,6.3582335,0.24229087,91.200165
167,7.3,12.9,2.388,7.1515927,0.7159469,69.370056
168,7.1,13.4,2.327,0.77599436,-0.39474642,53.496002
169,5.5,14.5,2.525,2.5601935,-0.39474642,43.28733
170,4.8,13.9,2.877,-0.36945647,-0.39474642,51.97927
171,4.0,12.9,3.2,-1.2613094,0.26653802,40.634956
172,2.4,13.7,3.012,0.21150018,-0.39474642,40.390617
173,4.0,12.0,2.735,9.9689865,9.613814,55.68596
174,5.7,12.4,3.312,5.083138,-0.39474642,79.62441
175,5.8,12.5,3.596,4.6349382,-0.39474642,41.313442
176,6.0,13.2,3.054,9.630337,18.872637,53.16062
177,9.0,11.2,4.324,10.675215,3.6958134,370.9766
178,8.1,12.2,3.98,11.876921,9.406973,83.98918
179,11.3,12.3,4.118,11.517974,-0.0026776418,67.30897
180,12.3,11.6,3.348,15.329316,-0.39474642,45.013798
181,14.4,11.0,2.601,15.923707,17.182703,400.8269
182,14.6,9.8,3.274,15.543936,16.222652,216.16133
183,15.2,8.8,2.423,16.988598,10.931685,455.70895
184,16.8,9.9,2.9,16.592764,9.828427,434.91995
185,17.6,9.7,2.335,20.44034,18.538872,297.30795
